frame,x,y,visible
377,613,731,False
378,613,731,False
379,595,803,True
380,582,818,True
381,562,865,True
382,554,873,True
383,548,879,True
384,544,884,False
385,810,754,True
386,704,522,True
387,602,288,True
388,236,182,False
389,236,182,False
390,236,182,False
391,604,292,True
392,1345,512,False
393,1345,512,False
394,1345,512,False
395,975,405,True
396,1344,519,True
397,1343,525,True
398,1340,530,True
399,1056,655,True
400,770,778,True
401,486,903,True
402,766,785,True
403,767,789,True
404,1044,669,True
405,1048,671,True
406,1335,551,True
407,1347,553,True
408,1353,555,True
409,1372,591,True
410,1192,460,True
411,1192,467,True
412,1359,581,False
413,1198,485,True
414,1419,714,False
415,1399,671,True
416,1419,720,False
417,1419,720,False
418,1438,694,True
419,1461,670,True
420,1487,642,False
421,1494,654,True
422,1512,665,True
423,1531,688,True
424,1541,701,True
425,1549,714,True
426,1554,722,True
427,1558,733,True
428,1560,740,True
429,1555,743,True
430,1550,743,True
431,1546,741,True
432,1546,739,True
433,1544,737,True
434,1542,740,True
435,1541,742,True
436,1542,742,True
437,1544,736,True
438,1545,731,True
439,1160,742,True
440,388,772,False
441,774,757,True
442,389,770,False
443,389,770,False
444,418,812,True
445,794,786,True
446,1170,761,True
447,1170,760,True
448,1173,764,True
449,1177,769,True
450,1530,711,False
451,1530,711,False
452,1504,748,True
453,1458,829,False
454,1458,829,False
455,1458,829,False
456,1458,829,False
457,1458,829,False
458,1458,829,False
459,1458,829,False
460,1458,829,False
461,1458,829,False
462,1458,829,False
463,1458,829,False
464,1123,753,True
465,744,756,True
466,391,720,False
467,391,720,False
468,391,720,False
469,427,760,True
470,589,554,True
471,753,347,True
472,758,342,True
473,643,582,True
474,490,774,True
475,424,677,False
476,424,677,False
477,638,528,True
478,786,283,True
479,1155,295,True
480,1349,502,True
481,1570,711,True
482,1547,751,True
483,1576,752,True
484,1579,749,True
485,1610,729,True
486,1553,775,False
487,1592,750,True
488,1613,772,True
489,1667,778,True
490,1714,791,True
491,1721,806,True
492,1727,815,True
493,1730,819,True
494,1730,821,False
495,1730,821,False
496,1743,795,True
497,1750,763,True
498,1775,727,True
499,1770,720,True
500,1786,730,True
501,1788,745,True
502,1765,789,True
503,1769,792,True
504,1771,798,True
505,1780,815,True
506,1746,865,True
507,1714,911,True
508,1735,866,True
509,1574,595,True
510,1597,571,True
511,1618,566,True
512,1819,786,True
513,1826,800,True
514,1819,846,True
515,1813,894,False
516,1813,894,False
517,1813,894,False
518,1813,888,True
519,1815,888,True
520,1813,886,False
521,1813,886,False
522,1814,865,True
523,1779,872,True
524,1747,882,True
525,1715,910,True
526,1715,910,True
527,1712,907,True
528,1725,863,True
529,1737,818,True
530,1755,772,True
531,1750,765,True
532,1771,768,True
533,1791,767,True
534,1812,778,True
535,1809,776,True
536,1801,783,True
537,1797,783,True
538,1793,782,True
539,1770,776,True
540,1748,770,True
541,1722,770,False
542,1722,770,False
543,1722,770,False
544,1722,770,False
545,1722,770,False
546,1722,770,False
547,1741,765,True
548,1773,758,False
549,1773,758,False
550,1753,750,True
551,1756,764,True
552,1742,780,True
553,1730,807,True
554,1725,807,True
555,1719,805,True
556,1712,802,True
557,1721,768,True
558,1743,706,False
559,1743,706,False
560,1743,706,False
561,1743,706,False
562,1697,746,True
563,1676,725,True
564,1641,732,True
565,1639,730,True
566,1635,726,True
567,1631,722,True
568,1627,716,True
569,1624,710,True
570,1620,705,True
571,1616,701,True
572,1611,697,True
573,1613,724,True
574,1610,725,True
575,1611,750,True
576,1601,726,True
577,1592,705,False
578,1592,705,False
579,1592,705,False
580,1592,705,False
581,1592,705,False
582,1592,705,False
583,1368,532,True
584,905,119,False
585,905,119,False
586,905,119,False
587,905,119,False
588,905,119,False
589,1140,313,True
590,924,117,False
591,924,117,False
592,924,117,False
593,924,117,False
594,924,117,False
595,924,117,False
596,924,117,False
597,924,117,False
598,1113,319,True
599,1314,519,True
600,1507,717,True
601,1502,712,True
602,1497,706,True
603,1493,704,True
604,1488,698,True
605,1482,692,True
606,1477,684,True
607,1476,680,True
608,1481,681,True
609,1490,685,True
610,1495,690,True
611,1493,688,True
612,1488,686,True
613,1487,687,False
614,1487,687,False
615,1144,693,True
616,967,501,True
617,989,521,True
618,1352,533,True
619,1553,749,True
620,1530,766,True
621,1537,774,True
622,1546,784,True
623,1577,778,True
624,1555,792,True
625,1553,794,True
626,1551,795,True
627,1570,785,False
628,1568,783,True
629,1564,782,True
630,1560,782,False
631,1560,782,False
632,1560,782,False
633,1651,547,True
634,1831,80,False
635,1831,80,False
636,1831,80,False
637,1831,80,False
638,1831,80,False
639,1831,80,False
640,1214,346,True
641,777,145,True
642,249,178,False
643,248,178,True
644,245,178,True
645,366,389,True
646,813,595,True
647,1262,805,True
648,1587,804,True
649,1589,809,True
650,1589,810,True
651,1591,814,False
652,1591,814,False
653,1591,814,False
654,1591,814,False
655,1591,814,False
656,1128,604,True
657,204,188,False
658,1210,355,True
659,1837,64,False
660,1837,64,False
661,1837,64,False
662,1837,64,False
663,993,145,True
664,1237,143,True
665,935,183,True
666,930,184,False
667,930,184,False
668,930,184,False
669,930,184,False
670,925,182,True
671,910,180,False
672,910,180,False
673,910,180,False
674,910,180,False
675,912,180,True
676,899,178,True
677,889,178,True
678,882,179,True
679,876,179,True
680,871,179,True
681,867,179,True
682,862,179,True
683,858,178,True
684,854,177,True
685,1109,382,True
686,1623,794,False
687,1623,794,False
688,1623,794,False
689,1623,794,False
690,1623,794,False
691,1623,794,False
692,1623,794,False
693,1623,794,False
694,1623,794,False
695,1623,794,False
696,1623,794,False
697,1623,794,False
698,1623,794,False
699,1623,794,False
700,1623,794,False
701,1623,794,False
702,1623,794,False
703,1623,794,False
704,1130,356,True
705,1361,539,True
706,1332,515,True
707,1542,723,True
708,1542,723,True
709,1542,724,True
710,1538,723,True
711,1507,763,True
712,1480,803,True
713,1475,808,True
714,1494,770,True
715,1513,735,True
716,1534,730,True
717,1529,729,True
718,1524,725,True
719,1500,721,True
720,1510,717,True
721,1522,713,True
722,1531,710,True
723,1539,697,True
724,1549,705,True
725,1561,698,True
726,1571,707,True
727,1579,697,True
728,1586,707,True
729,1593,712,True
730,1072,563,True
731,1087,569,True
732,1080,595,True
733,1613,770,True
734,1608,792,True
735,1618,795,True
736,1608,801,True
737,1600,800,True
738,1590,795,True
739,1546,802,True
740,1522,786,True
741,1489,751,True
742,1492,698,True
743,1473,665,False
